College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
2661,Vivekanandha College of Technology for Women Sathinaickenpalayam Elayampalayam Village Kumaramangalam Namakkal District 637205,AG,AGRICULTURAL ENGINEERING,147.5,100,,127,,,114,126,
5022,University College of Engineering Dindigul Mangarai Pirivu Reddiyarchathiram Dindigul District 624622,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,147.5,133,,123,,,110,,
2711,Kongu Engineering College (Autonomous) Perundurai Erode District 638052,AU,AUTOMOBILE ENGINEERING,147.0,136.5,,136.5,,,,,
2632,Mahendra Institute of Technology (Autonomous) Mahendhirapuri Mallasamudram Namakkal District 637503,AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),147.0,115.5,,129.5,,,110.5,123,
2607,K S Rangasamy College of Technology (Autonomous) Tiruchengode Namakkal District 637215,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,147.0,141,112,131.5,,,,,
2744,Adithya Institute of Technology Kurumbapalayam Village Coimbatore District 641107,CS,COMPUTER SCIENCE AND ENGINEERING,147.0,140,127.5,139,,,,,
1401,Adhiparasakthi Engineering College Melmaruvathur Chengalpattu District 603319,IT,INFORMATION TECHNOLOGY,147.0,133,137.5,131.5,,,117,,
2329,Rathinam Technical Campus (Autonomous) Pollachi Road Eachanari Coimbatore District 641021,XS,COMPUTER SCIENCE AND ENGINEERING (TAMIL),147.0,135,131.5,131,,,102,119,
1233,Adhi College of Engineering and Technology Pazhayaseevaram Madura Sankarapuram Village Kancheepuram District 631605,CS,COMPUTER SCIENCE AND ENGINEERING,147.0,134.5,126.5,118,,,102,,
2702,Bannari Amman Institute of Technology (Autonomous) Sathyamanagalam Erode District 638401,FT,FASHION TECHNOLOGY,147.0,143,127,131.5,,,,,
3011,University College of Engineering Tiruchirappalli (Bharathidasan Institute of Technology) Tiruchirappalli District 620024,PH,PHARMACEUTICAL TECHNOLOGY,147.0,128.5,116.5,129,,,116,,
