College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST,Year
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062",AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),162.0,154.0,161.5,149.0,,,114.5,,,2022
4955,"Francis Xavier Engineering College (Autonomous), Vannarpettai, Tirunelveli District 627003",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,162.0,144.0,157.0,119.5,,,114.5,,,2022
1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",CS,COMPUTER SCIENCE AND ENGINEERING,162.0,152.0,125.5,150.755,,,122.495,91.0,,2022
1140,"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604",IT,INFORMATION TECHNOLOGY,162.0,154.0,142.5,151.0,,,98.0,,,2022
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",CS,COMPUTER SCIENCE AND ENGINEERING,162.0,109.0,131.5,141.0,,,121.0,,,2022
2736,"Dr. N G P Institute of Technology (Autonomous), Kalapatti Road, Coimbatore District 641035",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,162.0,157.0,151.5,148.5,,,,,,2022
2736,"Dr. N G P Institute of Technology (Autonomous), Kalapatti Road, Coimbatore District 641035",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,162.0,155.5,130.5,139.0,,,,,,2022
1317,"St. Josephâ€™s College of Engineering (Autonomous), Old Mahabalipuram Road (OMR), Chennai 600 119",CH,CHEMICAL ENGINEERING,162.0,147.0,,,,,,,,2022
4971,"St. Xavier's Catholic College of Engineering, Chunkankadai, Nagercoil, Kanyakumari District 629807",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,162.0,147.5,150.0,125.5,,,,,,2022
2601,"Adhiyamaan College of Engineering (Autonomous), Hosur, Krishnagiri District 635109",CS,COMPUTER SCIENCE AND ENGINEERING,162.0,146.5,137.0,131.0,,,97.0,,,2022
1237,"Velammal Institute of Technology, Chennai-Kolkatta Highway, Panchetti Village, Ponneri Taluk, Thiruvallur District 601204",IT,INFORMATION TECHNOLOGY,161.5,155.0,146.0,146.5,,,93.5,,,2022
1309,"Meenakshi Sundararajan Engineering College, Kodambakkam, Chennai 600024",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,161.5,151.0,152.5,136.5,,,87.0,82.5,87.0,2022
2725,"Sri Ramakrishna Institute of Technology (Autonomous), Pachapalayam, Coimbatore District 641010",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,161.5,154.5,129.5,140.0,,,,,,2022
