College Name,Branch Name,2022,2023,2024,Predicted_2024
AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,INFORMATION TECHNOLOGY,,144.0,,
AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,MECHANICAL ENGINEERING,,122.5,,
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123.",Artificial Intelligence and Data Science,,,162.5,
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123.",COMPUTER SCIENCE AND ENGINEERING,,,154.5,
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123.",Computer Science and Engineering (Cyber Security),,,144.0,
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123.",ELECTRICAL AND ELECTRONICS ENGINEERING,,,138.0,
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,163.5,
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123.",INFORMATION TECHNOLOGY,,,144.0,
"AAA College of Engineering and Technology, Kamarajar Educational Road, Amathur Village, Sivakasi, Virudhunagar District 626005",COMPUTER SCIENCE AND ENGINEERING,163.5,,,
"AAA College of Engineering and Technology, Kamarajar Educational Road, Amathur Village, Sivakasi, Virudhunagar District 626005",ELECTRICAL AND ELECTRONICS ENGINEERING,132.0,,,
"AAA College of Engineering and Technology, Kamarajar Educational Road, Amathur Village, Sivakasi, Virudhunagar District 626005",ELECTRONICS AND COMMUNICATION ENGINEERING,155.5,,,
"AL-Ameen Engineering College (Autonomous), Karundevanpalayam, Nanjai Uthukkuli Post, Erode District-638104.",Artificial Intelligence and Data Science,,,124.5,
AMRITA College of Engineering and Technology Erachakulam Post Kanyakumari District 629902,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,162.5,,
AMRITA College of Engineering and Technology Erachakulam Post Kanyakumari District 629902,CIVIL ENGINEERING,,123.0,,
AMRITA College of Engineering and Technology Erachakulam Post Kanyakumari District 629902,COMPUTER SCIENCE AND ENGINEERING,,160.0,,
AMRITA College of Engineering and Technology Erachakulam Post Kanyakumari District 629902,ELECTRICAL AND ELECTRONICS ENGINEERING,,131.5,,
AMRITA College of Engineering and Technology Erachakulam Post Kanyakumari District 629902,ELECTRONICS AND COMMUNICATION ENGINEERING,,154.0,,
AMRITA College of Engineering and Technology Erachakulam Post Kanyakumari District 629902,MECHANICAL ENGINEERING,,123.0,,
"AMRITA College of Engineering and Technology, Erachakulam Post, Kanyakumari District 629902",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,162.91,,,
"AMRITA College of Engineering and Technology, Erachakulam Post, Kanyakumari District 629902",COMPUTER SCIENCE AND ENGINEERING,163.0,,,
"AMRITA College of Engineering and Technology, Erachakulam Post, Kanyakumari District 629902",ELECTRONICS AND COMMUNICATION ENGINEERING,147.0,,,
AVS College of Technology Attur Main Road Near AVS College of Arts & Science Chinnagoundapuram Salem District 636106,INFORMATION TECHNOLOGY,,128.0,,
"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem District 636106",COMPUTER SCIENCE AND ENGINEERING,148.5,,,
"AVS Engineering College, Military Road, Ammapet, Salem-636003.",BIO MEDICAL ENGINEERING,,,144.0,
"AVS Engineering College, Military Road, Ammapet, Salem-636003.",COMPUTER SCIENCE AND ENGINEERING,,,131.5,
"AVS Engineering College, Military Road, Ammapet, Salem-636003.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,127.0,
Aalim Muhammed Salegh College of Engineering Muthapudupet Avadi IAF Chennai 600055,COMPUTER SCIENCE AND ENGINEERING,,140.5,,
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),,,147.5,
Adhi College of Engineering and Technology Pazhayaseevaram Madura Sankarapuram Village Kancheepuram District 631605,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,148.0,,
Adhi College of Engineering and Technology Pazhayaseevaram Madura Sankarapuram Village Kancheepuram District 631605,COMPUTER SCIENCE AND ENGINEERING,,147.0,,
Adhi College of Engineering and Technology Pazhayaseevaram Madura Sankarapuram Village Kancheepuram District 631605,INFORMATION TECHNOLOGY,,144.0,,
"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",COMPUTER SCIENCE AND ENGINEERING,152.5,,,
"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",INFORMATION TECHNOLOGY,147.0,,,
Adhiparasakthi College of Engineering Kalavai Ranipet District 632506,COMPUTER SCIENCE AND ENGINEERING,,146.5,,
Adhiparasakthi College of Engineering Kalavai Ranipet District 632506,ELECTRONICS AND COMMUNICATION ENGINEERING,,128.5,,
Adhiparasakthi College of Engineering Kalavai Ranipet District 632506,INFORMATION TECHNOLOGY,,137.5,,
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506.",COMPUTER SCIENCE AND ENGINEERING,,,145.5,
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506.",Computer Science and Engineering (Cyber Security),,,127.5,
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,140.5,
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506.",INFORMATION TECHNOLOGY,,,143.0,
"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",COMPUTER SCIENCE AND ENGINEERING,135.0,,,
"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",ELECTRONICS AND COMMUNICATION ENGINEERING,118.0,,,
"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",INFORMATION TECHNOLOGY,141.0,,,
Adhiparasakthi Engineering College Melmaruvathur Chengalpattu District 603319,COMPUTER SCIENCE AND ENGINEERING,,148.0,,
Adhiparasakthi Engineering College Melmaruvathur Chengalpattu District 603319,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),,141.5,,
Adhiparasakthi Engineering College Melmaruvathur Chengalpattu District 603319,INFORMATION TECHNOLOGY,,147.0,,
"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District 603319",COMPUTER SCIENCE AND ENGINEERING,155.5,,,
"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District 603319",INFORMATION TECHNOLOGY,164.185,,,
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319.",COMPUTER SCIENCE AND ENGINEERING,,,151.5,
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),,,150.5,
Adhiyamaan College of Engineering (Autonomous) Hosur Krishnagiri District 635109,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,152.0,,
Adhiyamaan College of Engineering (Autonomous) Hosur Krishnagiri District 635109,COMPUTER SCIENCE AND ENGINEERING,,152.0,,
Adhiyamaan College of Engineering (Autonomous) Hosur Krishnagiri District 635109,ELECTRICAL AND ELECTRONICS ENGINEERING,,128.5,,
Adhiyamaan College of Engineering (Autonomous) Hosur Krishnagiri District 635109,ELECTRONICS AND COMMUNICATION ENGINEERING,,140.0,,
