College Name,Branch Name,2022,2023,2024,Predicted_2024
"JCT College of Engineering and Technology (Autonomous), Pichanur, Coimbatore South Taluk, Coimbatore-641105.",MECHANICAL ENGINEERING,,,123.5,
"JCT College of Engineering and Technology (Autonomous), Pichanur, Coimbatore South Taluk, Coimbatore-641105.",PETRO CHEMICAL TECHNOLOGY,,,136.5,
"JCT College of Engineering and Technology (Autonomous), Pichanur, Coimbatore South Taluk, Coimbatore-641105.",PETROLEUM ENGINEERING,,,154.5,
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",AGRICULTURAL ENGINEERING,,,122.5,
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",Artificial Intelligence and Data Science,,,159.5,
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",BIO MEDICAL ENGINEERING,,,165.5,
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",COMPUTER SCIENCE AND ENGINEERING,,,155.5,
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",Computer Science and Engineering (Cyber Security),,,152.5,
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,167.0,
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",Electronics Engineering (VLSI Design and Technology),,,144.0,
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",ROBOTICS AND AUTOMATION,,,163.0,
"Jai Shriram Engineering College , Dharapuram Road, Tirupur-638660.",Artificial Intelligence and Data Science,,,146.0,
"Jai Shriram Engineering College , Dharapuram Road, Tirupur-638660.",COMPUTER SCIENCE AND ENGINEERING,,,135.0,
"Jai Shriram Engineering College , Dharapuram Road, Tirupur-638660.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,132.0,
"Jai Shriram Engineering College , Dharapuram Road, Tirupur-638660.",FASHION TECHNOLOGY,,,113.5,
"Jai Shriram Engineering College , Dharapuram Road, Tirupur-638660.",INFORMATION TECHNOLOGY,,,127.5,
"Jai Shriram Engineering College , Dharapuram Road, Tirupur-638660.",MECHANICAL ENGINEERING,,,109.0,
Jai Shriram Engineering College Dharapuram Road Avinashi Palayam Tiruppur District 638660,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,145.5,,
Jai Shriram Engineering College Dharapuram Road Avinashi Palayam Tiruppur District 638660,CIVIL ENGINEERING,,123.0,,
Jai Shriram Engineering College Dharapuram Road Avinashi Palayam Tiruppur District 638660,COMPUTER SCIENCE AND ENGINEERING,,139.5,,
Jai Shriram Engineering College Dharapuram Road Avinashi Palayam Tiruppur District 638660,ELECTRICAL AND ELECTRONICS ENGINEERING,,110.0,,
Jai Shriram Engineering College Dharapuram Road Avinashi Palayam Tiruppur District 638660,ELECTRONICS AND COMMUNICATION ENGINEERING,,140.0,,
"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,134.0,,,
"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",COMPUTER SCIENCE AND ENGINEERING,146.5,,,
"Jansons Institute of Technology (Autonomous), SF.NO.443/1,2, 442/1A & 442/1B Karumathampatty, Coimbatore-641659.",Artificial Intelligence and Data Science,,,142.0,
"Jansons Institute of Technology (Autonomous), SF.NO.443/1,2, 442/1A & 442/1B Karumathampatty, Coimbatore-641659.",COMPUTER SCIENCE AND BUSSINESS SYSTEM,,,127.0,
"Jansons Institute of Technology (Autonomous), SF.NO.443/1,2, 442/1A & 442/1B Karumathampatty, Coimbatore-641659.",COMPUTER SCIENCE AND ENGINEERING,,,147.5,
"Jansons Institute of Technology (Autonomous), SF.NO.443/1,2, 442/1A & 442/1B Karumathampatty, Coimbatore-641659.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,134.5,
Jansons Institute of Technology Karumathampatty Somaur Coimbatore District 641659,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,148.0,,
Jansons Institute of Technology Karumathampatty Somaur Coimbatore District 641659,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,134.0,,
Jansons Institute of Technology Karumathampatty Somaur Coimbatore District 641659,COMPUTER SCIENCE AND ENGINEERING,,141.0,,
"Jansons Institute of Technology, Karumathampatty, Somaur, Coimbatore District 641659",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,141.5,,,
"Jansons Institute of Technology, Karumathampatty, Somaur, Coimbatore District 641659",COMPUTER SCIENCE AND ENGINEERING,150.5,,,
Jaya Engineering College Thirunindravur Chennai 602024,COMPUTER SCIENCE AND ENGINEERING,,140.0,,
"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",COMPUTER SCIENCE AND ENGINEERING,,,130.0,
"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),,,138.5,
"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,133.5,
"Jaya Engineering College, Thirunindravur, Chennai 602024",COMPUTER SCIENCE AND ENGINEERING,139.0,,,
"Jaya Engineering College, Thirunindravur, Chennai 602024",INFORMATION TECHNOLOGY,129.0,,,
Jayaraj Annapackiam CSI College of Engineering Nazareth Thoothukudi District 628617,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,143.5,,
Jayaraj Annapackiam CSI College of Engineering Nazareth Thoothukudi District 628617,COMPUTER SCIENCE AND ENGINEERING,,158.0,,
Jayaraj Annapackiam CSI College of Engineering Nazareth Thoothukudi District 628617,ELECTRONICS AND COMMUNICATION ENGINEERING,,131.0,,
Jayaraj Annapackiam CSI College of Engineering Nazareth Thoothukudi District 628617,INFORMATION TECHNOLOGY,,143.5,,
Jayaraj Annapackiam CSI College of Engineering Nazareth Thoothukudi District 628617,MECHANICAL ENGINEERING,,109.0,,
"Jayaraj Annapackiam CSI College of Engineering, Margoschis Nagar, Nazareth, Thoothukudi District-628617.",Artificial Intelligence and Data Science,,,130.0,
"Jayaraj Annapackiam CSI College of Engineering, Margoschis Nagar, Nazareth, Thoothukudi District-628617.",COMPUTER SCIENCE AND ENGINEERING,,,142.5,
"Jayaraj Annapackiam CSI College of Engineering, Margoschis Nagar, Nazareth, Thoothukudi District-628617.",INFORMATION TECHNOLOGY,,,127.0,
"Jayaraj Annapackiam CSI College of Engineering, Nazareth, Thoothukudi District 628617",COMPUTER SCIENCE AND ENGINEERING,136.0,,,
"Jayaraj Annapackiam CSI College of Engineering, Nazareth, Thoothukudi District 628617",ELECTRONICS AND COMMUNICATION ENGINEERING,114.5,,,
"Jayaraj Annapackiam CSI College of Engineering, Nazareth, Thoothukudi District 628617",INFORMATION TECHNOLOGY,132.5,,,
Jeppiaar Engineering College Old Mahabalipuram Road (OMR) Chennai 600119,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,169.5,,
Jeppiaar Engineering College Old Mahabalipuram Road (OMR) Chennai 600119,BIO TECHNOLOGY,,161.5,,
Jeppiaar Engineering College Old Mahabalipuram Road (OMR) Chennai 600119,COMPUTER SCIENCE AND ENGINEERING,,164.0,,
Jeppiaar Engineering College Old Mahabalipuram Road (OMR) Chennai 600119,ELECTRONICS AND COMMUNICATION ENGINEERING,,159.0,,
Jeppiaar Engineering College Old Mahabalipuram Road (OMR) Chennai 600119,INFORMATION TECHNOLOGY,,162.5,,
Jeppiaar Engineering College Old Mahabalipuram Road (OMR) Chennai 600119,MECHANICAL ENGINEERING,,125.5,,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",AEROSPACE ENGINEERING,,,168.5,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",Artificial Intelligence and Data Science,,,166.0,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",BIO TECHNOLOGY,,,149.5,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",COMPUTER SCIENCE AND ENGINEERING,,,167.0,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),,,161.5,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",ELECTRICAL AND ELECTRONICS ENGINEERING,,,155.0,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,161.5,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",INFORMATION TECHNOLOGY,,,163.0,
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",MECHANICAL ENGINEERING,,,139.0,
"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,170.5,,,
"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",BIO TECHNOLOGY,164.0,,,
"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",COMPUTER SCIENCE AND ENGINEERING,173.5,,,
"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",ELECTRONICS AND COMMUNICATION ENGINEERING,167.0,,,
"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",INFORMATION TECHNOLOGY,170.0,,,
"Jeppiaar Institute of Technology (Autonomous), Jeppiaar Nagar, Kunnam Village,Sriperumbudur Taluk, Kanchipuram-631604.",Artificial Intelligence and Data Science,,,165.5,
"Jeppiaar Institute of Technology (Autonomous), Jeppiaar Nagar, Kunnam Village,Sriperumbudur Taluk, Kanchipuram-631604.",COMPUTER SCIENCE AND BUSSINESS SYSTEM,,,160.0,
"Jeppiaar Institute of Technology (Autonomous), Jeppiaar Nagar, Kunnam Village,Sriperumbudur Taluk, Kanchipuram-631604.",COMPUTER SCIENCE AND ENGINEERING,,,166.0,
"Jeppiaar Institute of Technology (Autonomous), Jeppiaar Nagar, Kunnam Village,Sriperumbudur Taluk, Kanchipuram-631604.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,171.5,
"Jeppiaar Institute of Technology (Autonomous), Jeppiaar Nagar, Kunnam Village,Sriperumbudur Taluk, Kanchipuram-631604.",INFORMATION TECHNOLOGY,,,154.5,
"Jeppiaar Institute of Technology (Autonomous), Jeppiaar Nagar, Kunnam Village,Sriperumbudur Taluk, Kanchipuram-631604.",MECHANICAL ENGINEERING,,,146.5,
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,153.5,,
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,156.0,,
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,COMPUTER SCIENCE AND ENGINEERING,,157.0,,
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,ELECTRONICS AND COMMUNICATION ENGINEERING,,154.5,,
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,INFORMATION TECHNOLOGY,,152.0,,
Jeppiaar Institute of Technology kunnam Village Sriperumpudur Taulk Kancheepuram District 631604,MECHANICAL ENGINEERING,,157.0,,
"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,166.0,,,
"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604",COMPUTER SCIENCE AND BUSSINESS SYSTEM,156.0,,,
"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604",COMPUTER SCIENCE AND ENGINEERING,167.5,,,
"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604",ELECTRONICS AND COMMUNICATION ENGINEERING,162.5,,,
"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604",INFORMATION TECHNOLOGY,162.0,,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,161.5,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,BIO MEDICAL ENGINEERING,,149.5,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,151.0,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,COMPUTER SCIENCE AND ENGINEERING,,160.5,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),,152.5,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,Computer Science and Engineering (Cyber Security),,149.5,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,ELECTRICAL AND ELECTRONICS ENGINEERING,,139.5,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,ELECTRONICS AND COMMUNICATION ENGINEERING,,153.0,,
Jerusalem College of Engineering (Autonomous) Narayanapuram Pallikaranai Chennai 600 100,INFORMATION TECHNOLOGY,,156.5,,
"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,157.0,,,
"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",COMPUTER SCIENCE AND BUSSINESS SYSTEM,151.0,,,
"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",COMPUTER SCIENCE AND ENGINEERING,162.0,,,
"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),152.5,,,
"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",Computer Science and Engineering (Cyber Security),150.0,,,
"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",ELECTRICAL AND ELECTRONICS ENGINEERING,138.0,,,
"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",ELECTRONICS AND COMMUNICATION ENGINEERING,150.5,,,
"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",INFORMATION TECHNOLOGY,157.0,,,
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",Artificial Intelligence and Data Science,,,165.0,
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",COMPUTER SCIENCE AND BUSSINESS SYSTEM,,,155.0,
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",COMPUTER SCIENCE AND ENGINEERING,,,159.5,
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),,,155.0,
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",Computer Science and Engineering (Cyber Security),,,152.0,
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",ELECTRICAL AND ELECTRONICS ENGINEERING,,,152.5,
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,156.0,
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",INFORMATION TECHNOLOGY,,,156.0,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,AERONAUTICAL ENGINEERING,,165.5,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,AEROSPACE ENGINEERING,,178.0,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,172.0,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,AUTOMOBILE ENGINEERING,,128.5,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,COMPUTER SCIENCE AND ENGINEERING,,166.5,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,Computer Science and Engineering (Cyber Security),,161.5,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,ELECTRICAL AND ELECTRONICS ENGINEERING,,149.5,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,ELECTRONICS AND COMMUNICATION ENGINEERING,,163.0,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,FASHION TECHNOLOGY,,150.0,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,INFORMATION TECHNOLOGY,,165.0,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,MECHANICAL ENGINEERING,,154.5,,
K C G College of Technology (Autonomous) Karappakkam Chennai 600096,Mechatronics Engineering,,159.5,,
"K C G College of Technology, Karappakkam, Chennai 600096",AERONAUTICAL ENGINEERING,159.0,,,
"K C G College of Technology, Karappakkam, Chennai 600096",AEROSPACE ENGINEERING,165.5,,,
"K C G College of Technology, Karappakkam, Chennai 600096",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,174.0,,,
"K C G College of Technology, Karappakkam, Chennai 600096",COMPUTER SCIENCE AND ENGINEERING,173.0,,,
"K C G College of Technology, Karappakkam, Chennai 600096",ELECTRICAL AND ELECTRONICS ENGINEERING,158.5,,,
"K C G College of Technology, Karappakkam, Chennai 600096",ELECTRONICS AND COMMUNICATION ENGINEERING,167.0,,,
"K C G College of Technology, Karappakkam, Chennai 600096",INFORMATION TECHNOLOGY,167.5,,,
"K C G College of Technology, Karappakkam, Chennai 600096",Mechatronics Engineering,142.0,,,
K L N College of Engineering (Autonomous) Pottapalayam Sivagangai District 630611,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,170.5,,
K L N College of Engineering (Autonomous) Pottapalayam Sivagangai District 630611,COMPUTER SCIENCE AND ENGINEERING,,168.0,,
K L N College of Engineering (Autonomous) Pottapalayam Sivagangai District 630611,Computer Science and Engineering (Cyber Security),,158.5,,
K L N College of Engineering (Autonomous) Pottapalayam Sivagangai District 630611,Computer Science and Engineering (Internet of Things),,151.0,,
K L N College of Engineering (Autonomous) Pottapalayam Sivagangai District 630611,ELECTRICAL AND ELECTRONICS ENGINEERING,,142.5,,
K L N College of Engineering (Autonomous) Pottapalayam Sivagangai District 630611,ELECTRONICS AND COMMUNICATION ENGINEERING,,156.5,,
K L N College of Engineering (Autonomous) Pottapalayam Sivagangai District 630611,INFORMATION TECHNOLOGY,,161.0,,
"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,167.0,,,
"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",COMPUTER SCIENCE AND ENGINEERING,173.0,,,
"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",Computer Science and Engineering (Cyber Security),164.5,,,
"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",ELECTRICAL AND ELECTRONICS ENGINEERING,145.5,,,
"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",ELECTRONICS AND COMMUNICATION ENGINEERING,159.5,,,
"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",INFORMATION TECHNOLOGY,165.0,,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,183.0,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,BIO MEDICAL ENGINEERING,,167.0,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,CHEMICAL ENGINEERING,,163.5,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,CIVIL ENGINEERING,,160.5,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,179.5,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,COMPUTER SCIENCE AND ENGINEERING,,188.0,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),,184.0,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,ELECTRICAL AND ELECTRONICS ENGINEERING,,175.5,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,ELECTRONICS AND COMMUNICATION ENGINEERING,,184.0,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,INFORMATION TECHNOLOGY,,186.0,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,MECHANICAL ENGINEERING,,165.5,,
K P R Institute of Engineering and Technology (Autonomous) Kollupalayam Village Arasur Panchayat Coimbatore District 641407,Mechatronics Engineering,,171.0,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,182.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",BIO MEDICAL ENGINEERING,169.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",CHEMICAL ENGINEERING,146.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",CIVIL ENGINEERING,150.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",COMPUTER SCIENCE AND BUSSINESS SYSTEM,179.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",COMPUTER SCIENCE AND ENGINEERING,185.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),179.5,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",ELECTRICAL AND ELECTRONICS ENGINEERING,172.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",ELECTRONICS AND COMMUNICATION ENGINEERING,179.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",INFORMATION TECHNOLOGY,180.5,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",MECHANICAL ENGINEERING,160.0,,,
"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",Mechatronics Engineering,161.0,,,
K Ramakrishnan College of Engineering (Autonomous) Kariyamanickam Road Samayapuram Manachanallur Taluk Tiruchirappalli District 621112,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,170.5,,
K Ramakrishnan College of Engineering (Autonomous) Kariyamanickam Road Samayapuram Manachanallur Taluk Tiruchirappalli District 621112,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,156.0,,
K Ramakrishnan College of Engineering (Autonomous) Kariyamanickam Road Samayapuram Manachanallur Taluk Tiruchirappalli District 621112,COMPUTER SCIENCE AND ENGINEERING,,175.0,,
K Ramakrishnan College of Engineering (Autonomous) Kariyamanickam Road Samayapuram Manachanallur Taluk Tiruchirappalli District 621112,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),,159.0,,
K Ramakrishnan College of Engineering (Autonomous) Kariyamanickam Road Samayapuram Manachanallur Taluk Tiruchirappalli District 621112,ELECTRICAL AND ELECTRONICS ENGINEERING,,143.5,,
K Ramakrishnan College of Engineering (Autonomous) Kariyamanickam Road Samayapuram Manachanallur Taluk Tiruchirappalli District 621112,ELECTRONICS AND COMMUNICATION ENGINEERING,,165.0,,
K Ramakrishnan College of Engineering (Autonomous) Kariyamanickam Road Samayapuram Manachanallur Taluk Tiruchirappalli District 621112,INFORMATION TECHNOLOGY,,162.0,,
K Ramakrishnan College of Engineering (Autonomous) Kariyamanickam Road Samayapuram Manachanallur Taluk Tiruchirappalli District 621112,MECHANICAL ENGINEERING,,137.5,,
"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,172.0,,,
"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",Artificial Intelligence and Machine Learning,155.0,,,
"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",COMPUTER SCIENCE AND BUSSINESS SYSTEM,156.5,,,
"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",COMPUTER SCIENCE AND ENGINEERING,176.79,,,
"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",ELECTRICAL AND ELECTRONICS ENGINEERING,145.5,,,
"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",ELECTRONICS AND COMMUNICATION ENGINEERING,163.0,,,
"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",INFORMATION TECHNOLOGY,169.5,,,
